SNR_dB,rho,PEP_near,PEP_far,T_near,T_far,T_sum,P_B,P_C,EE
5.0,0.7736180905,0.3875117481,0.3895187655,0.3062441259,0.1526203086,0.4588644345,3.1622776602,0.2000000000,0.1364742835
5.0,0.7781407035,0.3887459364,0.3907257477,0.3056270318,0.1523185631,0.4579455949,3.1622776602,0.2000000000,0.1362010045
5.0,0.7826633166,0.3900016461,0.3919539801,0.3049991770,0.1520115050,0.4570106819,3.1622776602,0.2000000000,0.1359229451
5.0,0.7871859296,0.3912793754,0.3932039549,0.3043603123,0.1516990113,0.4560593236,3.1622776602,0.2000000000,0.1356399946
5.0,0.7917085427,0.3925796468,0.3944761880,0.3037101766,0.1513809530,0.4550911296,3.1622776602,0.2000000000,0.1353520368
5.0,0.7962311558,0.3939030081,0.3957712207,0.3030484959,0.1510571948,0.4541056907,3.1622776602,0.2000000000,0.1350589501
5.0,0.8007537688,0.3952500346,0.3970896210,0.3023749827,0.1507275947,0.4531025774,3.1622776602,0.2000000000,0.1347606067
5.0,0.8052763819,0.3966213302,0.3984319855,0.3016893349,0.1503920036,0.4520813385,3.1622776602,0.2000000000,0.1344568725
5.0,0.8097989950,0.3980175298,0.3997989410,0.3009912351,0.1500502648,0.4510414999,3.1622776602,0.2000000000,0.1341476063
5.0,0.8143216080,0.3994393009,0.4011911469,0.3002803495,0.1497022133,0.4499825628,3.1622776602,0.2000000000,0.1338326600
5.0,0.8188442211,0.4008873465,0.4026092972,0.2995563268,0.1493476757,0.4489040025,3.1622776602,0.2000000000,0.1335118773
5.0,0.8233668342,0.4023624066,0.4040541228,0.2988187967,0.1489864693,0.4478052660,3.1622776602,0.2000000000,0.1331850939
5.0,0.8278894472,0.4038652618,0.4055263944,0.2980673691,0.1486184014,0.4466857705,3.1622776602,0.2000000000,0.1328521365
5.0,0.8324120603,0.4053967356,0.4070269251,0.2973016322,0.1482432687,0.4455449009,3.1622776602,0.2000000000,0.1325128220
5.0,0.8369346734,0.4069576978,0.4085565737,0.2965211511,0.1478608566,0.4443820077,3.1622776602,0.2000000000,0.1321669572
5.0,0.8414572864,0.4085490680,0.4101162483,0.2957254660,0.1474709379,0.4431964040,3.1622776602,0.2000000000,0.1318143380
5.0,0.8459798995,0.4101718193,0.4117069094,0.2949140903,0.1470732726,0.4419873630,3.1622776602,0.2000000000,0.1314547481
5.0,0.8505025126,0.4118269829,0.4133295752,0.2940865085,0.1466676062,0.4407541147,3.1622776602,0.2000000000,0.1310879586
5.0,0.8550251256,0.4135156523,0.4149853252,0.2932421738,0.1462536687,0.4394958425,3.1622776602,0.2000000000,0.1307137265
5.0,0.8595477387,0.4152389889,0.4166753058,0.2923805056,0.1458311735,0.4382116791,3.1622776602,0.2000000000,0.1303317939
5.0,0.8640703518,0.4169982273,0.4184007360,0.2915008863,0.1453998160,0.4369007023,3.1622776602,0.2000000000,0.1299418866
5.0,0.8685929648,0.4187946822,0.4201629134,0.2906026589,0.1449592717,0.4355619306,3.1622776602,0.2000000000,0.1295437125
5.0,0.8731155779,0.4206297551,0.4219632214,0.2896851225,0.1445091946,0.4341943171,3.1622776602,0.2000000000,0.1291369604
5.0,0.8776381910,0.4225049424,0.4238031372,0.2887475288,0.1440492157,0.4327967445,3.1622776602,0.2000000000,0.1287212980
5.0,0.8821608040,0.4244218443,0.4256842401,0.2877890779,0.1435789400,0.4313680178,3.1622776602,0.2000000000,0.1282963697
5.0,0.8866834171,0.4263821748,0.4276082220,0.2868089126,0.1430979445,0.4299068571,3.1622776602,0.2000000000,0.1278617951
5.0,0.8912060302,0.4283877728,0.4295768978,0.2858061136,0.1426057755,0.4284118892,3.1622776602,0.2000000000,0.1274171655
5.0,0.8957286432,0.4304406151,0.4315922186,0.2847796925,0.1421019453,0.4268816378,3.1622776602,0.2000000000,0.1269620421
5.0,0.9002512563,0.4325428307,0.4336562855,0.2837285846,0.1415859286,0.4253145133,3.1622776602,0.2000000000,0.1264959519
5.0,0.9047738693,0.4346967172,0.4357713662,0.2826516414,0.1410571584,0.4237087998,3.1622776602,0.2000000000,0.1260183848
5.0,0.9092964824,0.4369047597,0.4379399131,0.2815476201,0.1405150217,0.4220626418,3.1622776602,0.2000000000,0.1255287887
5.0,0.9138190955,0.4391696523,0.4401645850,0.2804151738,0.1399588537,0.4203740276,3.1622776602,0.2000000000,0.1250265653
5.0,0.9183417085,0.4414943229,0.4424482713,0.2792528385,0.1393879322,0.4186407707,3.1622776602,0.2000000000,0.1245110645
5.0,0.9228643216,0.4438819621,0.4447941207,0.2780590189,0.1388014698,0.4168604888,3.1622776602,0.2000000000,0.1239815776
5.0,0.9273869347,0.4463360568,0.4472055740,0.2768319716,0.1381986065,0.4150305781,3.1622776602,0.2000000000,0.1234373303
5.0,0.9319095477,0.4488604291,0.4496864030,0.2755697854,0.1375783993,0.4131481847,3.1622776602,0.2000000000,0.1228774737
5.0,0.9364321608,0.4514592829,0.4522407559,0.2742703586,0.1369398110,0.4112101696,3.1622776602,0.2000000000,0.1223010742
5.0,0.9409547739,0.4541372581,0.4548732115,0.2729313709,0.1362816971,0.4092130681,3.1622776602,0.2000000000,0.1217071014
5.0,0.9454773869,0.4568994965,0.4575888433,0.2715502517,0.1356027892,0.4071530409,3.1622776602,0.2000000000,0.1210944134
5.0,0.9500000000,0.4597517198,0.4603932975,0.2701241401,0.1349016756,0.4050258157,3.1622776602,0.2000000000,0.1204617395
10.0,0.0500000000,0.2283469727,0.2455393291,0.3858265136,0.1886151677,0.5744416814,10.0000000000,0.2000000000,0.0563178119
10.0,0.0545226131,0.2221305322,0.2394270422,0.3889347339,0.1901432394,0.5790779734,10.0000000000,0.2000000000,0.0567723503
10.0,0.0590452261,0.2165144695,0.2338870126,0.3917427652,0.1915282468,0.5832710121,10.0000000000,0.2000000000,0.0571834326
10.0,0.0635678392,0.2114146994,0.2288407760,0.3942926503,0.1927898060,0.5870824563,10.0000000000,0.2000000000,0.0575571036
10.0,0.0680904523,0.2067630596,0.2242245262,0.3966184702,0.1939438685,0.5905623387,10.0000000000,0.2000000000,0.0578982685
